,ALL SHARE rt,HEALTHCARE rt,MANUFACTURING rt,MOTORS rt,PLANTATIONS rt,SERVICES rt,TELECOMUNICATION rt,TRADING rt,CONSTRUCTION/ENG rt,DIVERS HOLDINGS rt,INFO TECHNOLOGY rt,INVESTMENT TRUST rt,OIL PALMS rt,CHEMICALS & PHARMACEUTICAL rt,FOOTWEAR & TEXTILES rt,HOTELS & TRAVELS rt,LAND & PROPERTY rt,POWER & ENERGY rt,STORES & SUPPLIES rt,BANKS FINANCE & INS rt,BEVERAGES FOOD & TOBACCO rt,S&P SRI LANKA rt,MSCI SRI LANKA rt,ALL SHARE pt,HEALTHCARE pt,MANUFACTURING pt,MILANKA pt,MOTORS pt,PLANTATIONS pt,SERVICES pt,TELECOMUNICATION pt,TRADING pt,CONSTRUCTION/ENG pt,DIVERS HOLDINGS pt,INFO TECHNOLOGY pt,INVESTMENT TRUST pt,OIL PALMS pt,CHEMICALS & PHARMACEUTICAL pt,FOOTWEAR & TEXTILES pt,HOTELS & TRAVELS pt,LAND & PROPERTY pt,POWER & ENERGY pt,STORES & SUPPLIES pt,BANKS FINANCE & INS pt,BEVERAGES FOOD & TOBACCO pt,S&P SRI LANKA pt,MSCI SRI LANKA pt,Monday Dummy,Tuesday Dummy,Wednesday Dummy,Thursday Dummy,Friday Dummy,MSCI World Index,Du,Dd,ALL SHARE %,HEALTHCARE %,MANUFACTURING %,MOTORS %,PLANTATIONS %,SERVICES %,TELECOMUNICATION %,TRADING %,CONSTRUCTION/ENG %,DIVERS HOLDINGS %,INFO TECHNOLOGY %,INVESTMENT TRUST %,OIL PALMS %,CHEMICALS & PHARMACEUTICAL %,FOOTWEAR & TEXTILES %,HOTELS & TRAVELS %,LAND & PROPE%Y %,POWER & ENERGY %,STORES & SUPPLIES %,BANKS FINANCE & INS %,BEVERAGES FOOD & TOBACCO %
2004-01-01,0.000263591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.968276366,4.565389316,6.32148746,7.54844533,6.324000475,5.261653382,8.392242026,4.787491743,7.072930677,5.564520407,5.707442435,3.877431561,7.946759096,8.809041573,7.129057135,5.637998734,6.497528854,4.964242255,4.605170186,7.160768264,7.809297789,7.136721844,4.598246271,5.281227157,0,0,0,1,0,0.00168,1,0,0.0263591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-02,0.010570913,0,0.007876876,-0.0146278,0.00980653,0,0.040821995,0.037112171,0,0.001990711,0,0.001661512,0,0.0110789,0.001067426,0.025005024,0.005571045,0,0.007734589,0.007481886,-0.006783474,0.00452103,0.003107911,6.978847279,4.565389316,6.329364336,7.561771742,6.309372675,5.271459912,8.392242026,4.828313737,7.110042848,5.564520407,5.709433146,3.877431561,7.948420608,8.809041573,7.140136036,5.63906616,6.522533877,4.9698133,4.605170186,7.168502853,7.816779675,7.129938369,4.602767301,5.284335068,0,0,0,0,1,0.02384,1,0,1.0570913,0,0.7876876,-1.46278,0.980653,0,4.0821995,3.7112171,0,0.1990711,0,0.1661512,0,1.10789,0.1067426,2.5005024,0.5571045,0,0.7734589,0.7481886,-0.6783474
2004-01-05,0.03787899,0,0.035042128,0.09105087,-0.001027749,0,0.052212871,0.040737037,0.011049836,0.035491272,0,0.039409532,0,0.005769627,0.007087202,0.058659891,0.065189351,0,0.023001776,0.035931535,0.031450868,0.035740944,0.037703708,7.016726269,4.565389316,6.364406464,7.605223112,6.400423544,5.270432163,8.392242026,4.880526609,7.150779886,5.575570244,5.744924418,3.877431561,7.98783014,8.809041573,7.145905662,5.646153362,6.581193768,5.035002651,4.605170186,7.191504628,7.85271121,7.161389237,4.638508246,5.322038776,1,0,0,0,0,-0.02843,0,1,3.787899,0,3.5042128,9.105087,-0.1027749,0,5.2212871,4.0737037,1.1049836,3.5491272,0,3.9409532,0,0.5769627,0.7087202,5.8659891,6.5189351,0,2.3001776,3.5931535,3.1450868
2004-01-06,0.017018282,0,0.010618356,0.002653841,-0.008778781,0.065116232,0.061115814,0.019108862,0.032802046,0.00733071,0,0.043360113,0,0.027592782,0.003876657,0.021936717,-0.009150391,0,0.000376407,0.008746186,0.010421184,0.012590872,0.006710798,7.033744551,4.565389316,6.37502482,7.626414249,6.403077386,5.261653382,8.457358258,4.941642423,7.169888748,5.60837229,5.752255128,3.877431561,8.031190253,8.809041573,7.173498444,5.650030019,6.603130486,5.02585226,4.605170186,7.191881035,7.861457396,7.171810421,4.651099118,5.328749574,0,1,0,0,0,-0.00229,0,1,1.7018282,0,1.0618356,0.2653841,-0.8778781,6.5116232,6.1115814,1.9108862,3.2802046,0.733071,0,4.3360113,0,2.7592782,0.3876657,2.1936717,-0.9150391,0,0.0376407,0.8746186,1.0421184
2004-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.033744551,4.565389316,6.37502482,7.626414249,6.403077386,5.261653382,8.457358258,4.941642423,7.169888748,5.60837229,5.752255128,3.877431561,8.031190253,8.809041573,7.173498444,5.650030019,6.603130486,5.02585226,4.605170186,7.191881035,7.861457396,7.171810421,4.651099118,5.328749574,0,0,1,0,0,-0.00782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-08,0.018206305,0,0.00408025,0.005286647,0.001554807,0,0.03509132,-0.012153263,0.021404771,0.019497473,0,0.01041575,0,0,0.001757161,0.041049796,0.001312336,0,-0.007631029,0.021008455,0.001074526,0.024529532,0.023084863,7.051950857,4.565389316,6.37910507,7.649054325,6.408364033,5.263208189,8.457358258,4.976733742,7.157735484,5.629777061,5.771752601,3.877431561,8.041606003,8.809041573,7.173498444,5.65178718,6.644180282,5.027164596,4.605170186,7.184250006,7.882465851,7.172884947,4.67562865,5.351834437,0,0,0,1,0,0.01495,1,0,1.8206305,0,0.408025,0.5286647,0.1554807,0,3.509132,-1.2153263,2.1404771,1.9497473,0,1.041575,0,0,0.1757161,4.1049796,0.1312336,0,-0.7631029,2.1008455,0.1074526
2004-01-09,0.008405331,0,0.010464231,-0.023169634,0.005165301,0,-0.011793408,0,-0.021404771,0.019735454,0.098504771,-0.002448613,0,0.020788246,0.002805051,0.024302064,0.007838054,0,-0.024647107,0.004216874,0.014091714,0.002420182,0.015005691,7.060356187,4.565389316,6.389569301,7.655485337,6.385194399,5.26837349,8.457358258,4.964940335,7.157735484,5.60837229,5.791488055,3.975936331,8.03915739,8.809041573,7.19428669,5.65459223,6.668482346,5.035002651,4.605170186,7.159602898,7.886682725,7.186976661,4.678048831,5.366840128,0,0,0,0,1,-0.02654,0,1,0.8405331,0,1.0464231,-2.3169634,0.5165301,0,-1.1793408,0,-2.1404771,1.9735454,9.8504771,-0.2448613,0,2.0788246,0.2805051,2.4302064,0.7838054,0,-2.4647107,0.4216874,1.4091714
2004-01-12,-0.002948904,0,-0.00454355,0.000505774,0.002058673,0.001570026,-0.023297912,-0.00946836,0,0.014249142,0,0,0,-0.056690338,0,-0.012913304,-0.007838054,0,0.038281457,0.004012079,-0.009575997,0.000929282,0.015551808,7.057407283,4.565389316,6.385025751,7.654902836,6.385700173,5.270432163,8.458928283,4.941642423,7.148267124,5.60837229,5.805737197,3.975936331,8.03915739,8.809041573,7.137596352,5.65459223,6.655569042,5.027164596,4.605170186,7.197884355,7.890694804,7.177400664,4.678978113,5.382391935,1,0,0,0,0,0.0168,1,0,-0.2948904,0,-0.454355,0.0505774,0.2058673,0.1570026,-2.3297912,-0.946836,0,1.4249142,0,0,0,-5.6690338,0,-1.2913304,-0.7838054,0,3.8281457,0.4012079,-0.9575997
2004-01-13,0.010091577,0,0.015464226,0.01379286,0.017834868,0.029445592,0.012069724,-0.063655194,3.67E-05,0.0243842,0,0.003898841,-1.49E-06,0.010482061,-0.000175085,0.017665712,0.007317425,0,-0.01514478,0.005150803,-0.006358469,0.023318784,0.023339337,7.067498861,4.565389316,6.400489976,7.669910664,6.399493034,5.288267031,8.488373876,4.953712147,7.08461193,5.60840896,5.830121397,3.975936331,8.043056232,8.809040079,7.148078413,5.654417145,6.673234755,5.034482021,4.605170186,7.182739575,7.895845606,7.171042195,4.702296897,5.405731273,0,1,0,0,0,0.0151,1,0,1.0091577,0,1.5464226,1.379286,1.7834868,2.9445592,1.2069724,-6.3655194,0.00367,2.43842,0,0.3898841,-0.000149,1.0482061,-0.0175085,1.7665712,0.7317425,0,-1.514478,0.5150803,-0.6358469
2004-01-14,0.004447948,0,0.006719988,-6.65E-05,0.043485112,8.23E-06,0,0.026981749,-0.043888552,0.001761081,0,0.011752233,1.49E-06,0.007239822,-0.01499543,0.005484647,-0.020518936,0,-7.60E-06,0.009264129,0.000614628,0.00984251,0.007756832,7.071946809,4.565389316,6.407209965,7.674283024,6.399426535,5.331752143,8.48838211,4.953712147,7.111593679,5.564520407,5.831882477,3.975936331,8.054808464,8.809041573,7.155318235,5.639421715,6.678719402,5.013963084,4.605170186,7.182731979,7.905109736,7.171656823,4.712139407,5.413488104,0,0,1,0,0,-0.02621,0,1,0.4447948,0,0.6719988,-0.00665,4.3485112,0.000823,0,2.6981749,-4.3888552,0.1761081,0,1.1752233,0.000149,0.7239822,-1.499543,0.5484647,-2.0518936,0,-0.00076,0.9264129,0.0614628
2004-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.071946809,4.565389316,6.407209965,7.674283024,6.399426535,5.331752143,8.48838211,4.953712147,7.111593679,5.564520407,5.831882477,3.975936331,8.054808464,8.809041573,7.155318235,5.639421715,6.678719402,5.013963084,4.605170186,7.182731979,7.905109736,7.171656823,4.712139407,5.413488104,0,0,0,1,0,-0.00465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
